0x01    LittleFS.begin() failed
0x02    LittleFS.format() failed
0x03    LittleFS not initialized
0x04    Requested pkg is greater than max resultLength

0x41    File already open
0x42    File can't be opened
0x43    File not opened
0x44    File can't be deleted
0x45    File can't be renamed
0x46    File can't seek position
0x47    File can't be written to the end

0x81    Dir already open
0x82    Dir can't be opened
0x83    Dir not opened
0x44    Dir can't be deleted
0x85    Dir can't be created
0x86    Dir has no more files
